event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold_before_promo,quantity_sold(after_promo),base_price_after_promo,revenue_before_promo,quantity_sold_after_promo,revenue_after_promo,isu,isu_pct,ir,ir_pct
58e374,STBLR-0,CAMP_DIW_01,P07,300,BOGOF,64,250,150,19200,500,75000,436,6.81,55800,2.91
0f2c3a,STCBE-0,CAMP_SAN_01,P07,300,BOGOF,30,117,150,9000,234,35100,204,6.8,26100,2.9
7bdc1e,STVSK-4,CAMP_DIW_01,P07,300,BOGOF,50,149,150,15000,298,44700,248,4.96,29700,1.98
565a38,STTRV-0,CAMP_SAN_01,P07,300,BOGOF,30,117,150,9000,234,35100,204,6.8,26100,2.9
74d23a,STCHE-0,CAMP_DIW_01,P07,300,BOGOF,75,252,150,22500,504,75600,429,5.72,53100,2.36
d105db,STCBE-4,CAMP_SAN_01,P07,300,BOGOF,43,111,150,12900,222,33300,179,4.16,20400,1.58
4888d5,STBLR-3,CAMP_DIW_01,P07,300,BOGOF,70,231,150,21000,462,69300,392,5.6,48300,2.3
d1e51d,STCBE-4,CAMP_DIW_01,P07,300,BOGOF,42,130,150,12600,260,39000,218,5.19,26400,2.1
951bda,STBLR-9,CAMP_DIW_01,P07,300,BOGOF,63,213,150,18900,426,63900,363,5.76,45000,2.38
1fa488,STVJD-0,CAMP_DIW_01,P07,300,BOGOF,31,105,150,9300,210,31500,179,5.77,22200,2.39
3bc352,STHYD-3,CAMP_DIW_01,P07,300,BOGOF,54,170,150,16200,340,51000,286,5.3,34800,2.15
c134bb,STBLR-8,CAMP_SAN_01,P07,300,BOGOF,51,205,150,15300,410,61500,359,7.04,46200,3.02
323aee,STVSK-0,CAMP_DIW_01,P07,300,BOGOF,36,119,150,10800,238,35700,202,5.61,24900,2.31
86755e,STCHE-4,CAMP_SAN_01,P07,300,BOGOF,45,191,150,13500,382,57300,337,7.49,43800,3.24
6d863b,STCBE-1,CAMP_SAN_01,P07,300,BOGOF,40,155,150,12000,310,46500,270,6.75,34500,2.88
8fecef,STCHE-1,CAMP_DIW_01,P07,300,BOGOF,75,217,150,22500,434,65100,359,4.79,42600,1.89
fc3f51,STBLR-6,CAMP_SAN_01,P07,300,BOGOF,40,165,150,12000,330,49500,290,7.25,37500,3.13
d6cc80,STCHE-4,CAMP_DIW_01,P07,300,BOGOF,61,236,150,18300,472,70800,411,6.74,52500,2.87
53089f,STTRV-0,CAMP_DIW_01,P07,300,BOGOF,26,87,150,7800,174,26100,148,5.69,18300,2.35
f517b1,STVSK-4,CAMP_SAN_01,P07,300,BOGOF,33,83,150,9900,166,24900,133,4.03,15000,1.52
a83e09,STMDU-3,CAMP_SAN_01,P07,300,BOGOF,22,88,150,6600,176,26400,154,7,19800,3
20da13,STBLR-4,CAMP_SAN_01,P07,300,BOGOF,48,185,150,14400,370,55500,322,6.71,41100,2.85
ef61c6,STHYD-2,CAMP_SAN_01,P07,300,BOGOF,48,188,150,14400,376,56400,328,6.83,42000,2.92
0eb526,STMLR-0,CAMP_DIW_01,P07,300,BOGOF,38,113,150,11400,226,33900,188,4.95,22500,1.97
316cd1,STMYS-2,CAMP_SAN_01,P07,300,BOGOF,45,122,150,13500,244,36600,199,4.42,23100,1.71
252235,STHYD-4,CAMP_DIW_01,P07,300,BOGOF,64,223,150,19200,446,66900,382,5.97,47700,2.48
6c43b6,STMLR-1,CAMP_DIW_01,P07,300,BOGOF,29,97,150,8700,194,29100,165,5.69,20400,2.34
d04c7f,STBLR-9,CAMP_SAN_01,P07,300,BOGOF,40,159,150,12000,318,47700,278,6.95,35700,2.98
2eb400,STBLR-5,CAMP_SAN_01,P07,300,BOGOF,52,207,150,15600,414,62100,362,6.96,46500,2.98
cd3392,STCHE-6,CAMP_SAN_01,P07,300,BOGOF,31,123,150,9300,246,36900,215,6.94,27600,2.97
7a2a47,STBLR-7,CAMP_DIW_01,P07,300,BOGOF,64,254,150,19200,508,76200,444,6.94,57000,2.97
415f7e,STVSK-2,CAMP_SAN_01,P07,300,BOGOF,24,93,150,7200,186,27900,162,6.75,20700,2.88
6b0ee6,STMDU-1,CAMP_DIW_01,P07,300,BOGOF,47,157,150,14100,314,47100,267,5.68,33000,2.34
d33904,STMYS-3,CAMP_DIW_01,P07,300,BOGOF,59,233,150,17700,466,69900,407,6.9,52200,2.95
b97dfe,STBLR-2,CAMP_DIW_01,P07,300,BOGOF,56,196,150,16800,392,58800,336,6,42000,2.5
0f8686,STVSK-0,CAMP_SAN_01,P07,300,BOGOF,24,92,150,7200,184,27600,160,6.67,20400,2.83
c092d4,STBLR-4,CAMP_DIW_01,P07,300,BOGOF,70,243,150,21000,486,72900,416,5.94,51900,2.47
802dfa,STBLR-3,CAMP_SAN_01,P07,300,BOGOF,54,217,150,16200,434,65100,380,7.04,48900,3.02
6bce12,STMYS-0,CAMP_SAN_01,P07,300,BOGOF,46,120,150,13800,240,36000,194,4.22,22200,1.61
4aa7ef,STHYD-1,CAMP_DIW_01,P07,300,BOGOF,59,176,150,17700,352,52800,293,4.97,35100,1.98
e0a83a,STBLR-8,CAMP_DIW_01,P07,300,BOGOF,63,221,150,18900,442,66300,379,6.02,47400,2.51
f41ca1,STCBE-2,CAMP_DIW_01,P07,300,BOGOF,42,166,150,12600,332,49800,290,6.9,37200,2.95
367e8d,STCBE-2,CAMP_SAN_01,P07,300,BOGOF,30,123,150,9000,246,36900,216,7.2,27900,3.1
0c0339,STHYD-2,CAMP_DIW_01,P07,300,BOGOF,64,211,150,19200,422,63300,358,5.59,44100,2.3
e025ee,STVSK-1,CAMP_SAN_01,P07,300,BOGOF,27,107,150,8100,214,32100,187,6.93,24000,2.96
543c36,STHYD-4,CAMP_SAN_01,P07,300,BOGOF,58,225,150,17400,450,67500,392,6.76,50100,2.88
5.80E+27,STMYS-2,CAMP_DIW_01,P07,300,BOGOF,73,215,150,21900,430,64500,357,4.89,42600,1.95
a298bc,STVJD-1,CAMP_DIW_01,P07,300,BOGOF,33,109,150,9900,218,32700,185,5.61,22800,2.3
5abaf9,STCHE-3,CAMP_SAN_01,P07,300,BOGOF,37,155,150,11100,310,46500,273,7.38,35400,3.19
46021e,STCHE-1,CAMP_SAN_01,P07,300,BOGOF,31,79,150,9300,158,23700,127,4.1,14400,1.55
652101,STBLR-1,CAMP_DIW_01,P07,300,BOGOF,61,189,150,18300,378,56700,317,5.2,38400,2.1
699bac,STCHE-7,CAMP_SAN_01,P07,300,BOGOF,42,183,150,12600,366,54900,324,7.71,42300,3.36
37cb87,STBLR-1,CAMP_SAN_01,P07,300,BOGOF,46,115,150,13800,230,34500,184,4,20700,1.5
e5e0dc,STHYD-0,CAMP_SAN_01,P07,300,BOGOF,52,204,150,15600,408,61200,356,6.85,45600,2.92
d91475,STMYS-0,CAMP_DIW_01,P07,300,BOGOF,61,189,150,18300,378,56700,317,5.2,38400,2.1
115760,STMDU-2,CAMP_DIW_01,P07,300,BOGOF,43,147,150,12900,294,44100,251,5.84,31200,2.42
cd4812,STMDU-3,CAMP_DIW_01,P07,300,BOGOF,47,162,150,14100,324,48600,277,5.89,34500,2.45
933f7e,STCHE-7,CAMP_DIW_01,P07,300,BOGOF,71,282,150,21300,564,84600,493,6.94,63300,2.97
84dbe3,STHYD-1,CAMP_SAN_01,P07,300,BOGOF,51,140,150,15300,280,42000,229,4.49,26700,1.75
ba0b3e,STBLR-7,CAMP_SAN_01,P07,300,BOGOF,40,165,150,12000,330,49500,290,7.25,37500,3.13
35e3ec,STMDU-1,CAMP_SAN_01,P07,300,BOGOF,40,154,150,12000,308,46200,268,6.7,34200,2.85
50802a,STCHE-3,CAMP_DIW_01,P07,300,BOGOF,64,257,150,19200,514,77100,450,7.03,57900,3.02
f97b6d,STMLR-2,CAMP_DIW_01,P07,300,BOGOF,33,115,150,9900,230,34500,197,5.97,24600,2.48
30f1c0,STVJD-1,CAMP_SAN_01,P07,300,BOGOF,22,88,150,6600,176,26400,154,7,19800,3
e24a3a,STVSK-1,CAMP_DIW_01,P07,300,BOGOF,49,170,150,14700,340,51000,291,5.94,36300,2.47
4fe9ba,STVSK-2,CAMP_DIW_01,P07,300,BOGOF,45,150,150,13500,300,45000,255,5.67,31500,2.33
fea4be,STMYS-3,CAMP_SAN_01,P07,300,BOGOF,30,129,150,9000,258,38700,228,7.6,29700,3.3
66c422,STBLR-5,CAMP_DIW_01,P07,300,BOGOF,66,227,150,19800,454,68100,388,5.88,48300,2.44
4e7ca5,STMYS-1,CAMP_DIW_01,P07,300,BOGOF,54,219,150,16200,438,65700,384,7.11,49500,3.06
3af058,STVSK-3,CAMP_DIW_01,P07,300,BOGOF,36,108,150,10800,216,32400,180,5,21600,2
b2270b,STHYD-0,CAMP_DIW_01,P07,300,BOGOF,52,173,150,15600,346,51900,294,5.65,36300,2.33
d85264,STMLR-1,CAMP_SAN_01,P07,300,BOGOF,30,120,150,9000,240,36000,210,7,27000,3
6639a5,STMDU-0,CAMP_SAN_01,P07,300,BOGOF,31,130,150,9300,260,39000,229,7.39,29700,3.19
df4373,STMDU-2,CAMP_SAN_01,P07,300,BOGOF,33,128,150,9900,256,38400,223,6.76,28500,2.88
46d796,STHYD-6,CAMP_SAN_01,P07,300,BOGOF,51,205,150,15300,410,61500,359,7.04,46200,3.02
380c68,STTRV-1,CAMP_DIW_01,P07,300,BOGOF,29,96,150,8700,192,28800,163,5.62,20100,2.31
c25b15,STHYD-6,CAMP_DIW_01,P07,300,BOGOF,63,218,150,18900,436,65400,373,5.92,46500,2.46
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79,595,35700,158,94010,128,4.27,58310,1.63
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74,595,22610,148,88060,129,6.79,65450,2.89
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136,595,39270,272,161840,239,7.24,122570,3.12
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,595,32130,218,129710,191,7.07,97580,3.04
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,595,28560,164,97580,140,5.83,69020,2.42
32efe6,STVSK-3,CAMP_SAN_01,P08,1190,BOGOF,30,81,595,35700,162,96390,132,4.4,60690,1.7
d834f0,STMYS-3,CAMP_SAN_01,P08,1190,BOGOF,34,147,595,40460,294,174930,260,7.65,134470,3.32
b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,BOGOF,51,196,595,60690,392,233240,341,6.69,172550,2.84
6436da,STMDU-1,CAMP_SAN_01,P08,1190,BOGOF,30,118,595,35700,236,140420,206,6.87,104720,2.93
57576d,STBLR-5,CAMP_SAN_01,P08,1190,BOGOF,49,194,595,58310,388,230860,339,6.92,172550,2.96
c381ea,STMLR-1,CAMP_SAN_01,P08,1190,BOGOF,27,106,595,32130,212,126140,185,6.85,94010,2.93
a0d919,STMDU-1,CAMP_DIW_01,P08,1190,BOGOF,35,122,595,41650,244,145180,209,5.97,103530,2.49
cf734f,STHYD-4,CAMP_SAN_01,P08,1190,BOGOF,51,203,595,60690,406,241570,355,6.96,180880,2.98
8cbaa3,STHYD-2,CAMP_SAN_01,P08,1190,BOGOF,60,238,595,71400,476,283220,416,6.93,211820,2.97
34a266,STMLR-0,CAMP_DIW_01,P08,1190,BOGOF,24,70,595,28560,140,83300,116,4.83,54740,1.92
e39703,STBLR-9,CAMP_DIW_01,P08,1190,BOGOF,47,163,595,55930,326,193970,279,5.94,138040,2.47
ca1e8f,STHYD-1,CAMP_DIW_01,P08,1190,BOGOF,54,167,595,64260,334,198730,280,5.19,134470,2.09
e8aca2,STCBE-4,CAMP_DIW_01,P08,1190,BOGOF,40,119,595,47600,238,141610,198,4.95,94010,1.98
c99d18,STCHE-7,CAMP_DIW_01,P08,1190,BOGOF,54,218,595,64260,436,259420,382,7.07,195160,3.04
4f255c,STHYD-1,CAMP_SAN_01,P08,1190,BOGOF,52,134,595,61880,268,159460,216,4.15,97580,1.58
5aa413,STCHE-1,CAMP_SAN_01,P08,1190,BOGOF,43,109,595,51170,218,129710,175,4.07,78540,1.53
14f1e9,STBLR-4,CAMP_DIW_01,P08,1190,BOGOF,49,163,595,58310,326,193970,277,5.65,135660,2.33
1f5ed3,STVSK-1,CAMP_SAN_01,P08,1190,BOGOF,33,131,595,39270,262,155890,229,6.94,116620,2.97
333b7d,STHYD-6,CAMP_DIW_01,P08,1190,BOGOF,49,166,595,58310,332,197540,283,5.78,139230,2.39
6.88E+10,STVJD-0,CAMP_SAN_01,P08,1190,BOGOF,22,88,595,26180,176,104720,154,7,78540,3
41b8f8,STBLR-0,CAMP_DIW_01,P08,1190,BOGOF,56,220,595,66640,440,261800,384,6.86,195160,2.93
a9ee19,STBLR-1,CAMP_SAN_01,P08,1190,BOGOF,58,158,595,69020,316,188020,258,4.45,119000,1.72
a55960,STBLR-1,CAMP_DIW_01,P08,1190,BOGOF,50,149,595,59500,298,177310,248,4.96,117810,1.98
aac58d,STBLR-6,CAMP_DIW_01,P08,1190,BOGOF,52,204,595,61880,408,242760,356,6.85,180880,2.92
99482c,STBLR-8,CAMP_SAN_01,P08,1190,BOGOF,42,161,595,49980,322,191590,280,6.67,141610,2.83
f8e037,STHYD-2,CAMP_DIW_01,P08,1190,BOGOF,52,175,595,61880,350,208250,298,5.73,146370,2.37
17537,STMDU-2,CAMP_SAN_01,P08,1190,BOGOF,33,129,595,39270,258,153510,225,6.82,114240,2.91
9.33E+11,STBLR-3,CAMP_SAN_01,P08,1190,BOGOF,40,154,595,47600,308,183260,268,6.7,135660,2.85
5f2c41,STCHE-6,CAMP_DIW_01,P08,1190,BOGOF,54,185,595,64260,370,220150,316,5.85,155890,2.43
66050c,STCHE-6,CAMP_SAN_01,P08,1190,BOGOF,60,238,595,71400,476,283220,416,6.93,211820,2.97
d3f755,STCBE-1,CAMP_SAN_01,P08,1190,BOGOF,43,171,595,51170,342,203490,299,6.95,152320,2.98
3c3c49,STCBE-2,CAMP_SAN_01,P08,1190,BOGOF,40,168,595,47600,336,199920,296,7.4,152320,3.2
3.56E+10,STMDU-3,CAMP_SAN_01,P08,1190,BOGOF,36,145,595,42840,290,172550,254,7.06,129710,3.03
17df71,STHYD-0,CAMP_SAN_01,P08,1190,BOGOF,46,179,595,54740,358,213010,312,6.78,158270,2.89
342d35,STCBE-3,CAMP_DIW_01,P08,1190,BOGOF,29,96,595,34510,192,114240,163,5.62,79730,2.31
d88318,STCHE-5,CAMP_DIW_01,P08,1190,BOGOF,45,149,595,53550,298,177310,253,5.62,123760,2.31
fc2170,STCBE-3,CAMP_SAN_01,P08,1190,BOGOF,40,158,595,47600,316,188020,276,6.9,140420,2.95
c4dae9,STHYD-0,CAMP_DIW_01,P08,1190,BOGOF,52,180,595,61880,360,214200,308,5.92,152320,2.46
5c6465,STHYD-5,CAMP_SAN_01,P08,1190,BOGOF,36,139,595,42840,278,165410,242,6.72,122570,2.86
fc8d10,STMLR-0,CAMP_SAN_01,P08,1190,BOGOF,27,70,595,32130,140,83300,113,4.19,51170,1.59
e98f37,STBLR-3,CAMP_DIW_01,P08,1190,BOGOF,43,145,595,51170,290,172550,247,5.74,121380,2.37
c32fcd,STHYD-3,CAMP_SAN_01,P08,1190,BOGOF,73,192,595,86870,384,228480,311,4.26,141610,1.63
d3d574,STMLR-2,CAMP_SAN_01,P08,1190,BOGOF,16,63,595,19040,126,74970,110,6.88,55930,2.94
457639,STCHE-4,CAMP_SAN_01,P08,1190,BOGOF,54,222,595,64260,444,264180,390,7.22,199920,3.11
417902,STMDU-0,CAMP_DIW_01,P08,1190,BOGOF,29,116,595,34510,232,138040,203,7,103530,3
380a4f,STCHE-1,CAMP_DIW_01,P08,1190,BOGOF,45,137,595,53550,274,163030,229,5.09,109480,2.04
8c13bb,STBLR-5,CAMP_DIW_01,P08,1190,BOGOF,47,159,595,55930,318,189210,271,5.77,133280,2.38
e5db3d,STCBE-0,CAMP_DIW_01,P08,1190,BOGOF,29,98,595,34510,196,116620,167,5.76,82110,2.38
0c0926,STMDU-3,CAMP_DIW_01,P08,1190,BOGOF,26,91,595,30940,182,108290,156,6,77350,2.5
4ca50a,STHYD-3,CAMP_DIW_01,P08,1190,BOGOF,50,156,595,59500,312,185640,262,5.24,126140,2.12
cf0ccd,STVSK-1,CAMP_DIW_01,P08,1190,BOGOF,35,117,595,41650,234,139230,199,5.69,97580,2.34
68c31e,STBLR-7,CAMP_SAN_01,P08,1190,BOGOF,54,235,595,64260,470,279650,416,7.7,215390,3.35
1cfaa8,STBLR-2,CAMP_SAN_01,P08,1190,BOGOF,43,166,595,51170,332,197540,289,6.72,146370,2.86
6.20E+94,STMYS-0,CAMP_SAN_01,P08,1190,BOGOF,48,129,595,57120,258,153510,210,4.38,96390,1.69
8a219d,STBLR-8,CAMP_DIW_01,P08,1190,BOGOF,64,218,595,76160,436,259420,372,5.81,183260,2.41
8f9cc5,STMLR-1,CAMP_DIW_01,P08,1190,BOGOF,29,100,595,34510,200,119000,171,5.9,84490,2.45
d58c29,STVSK-2,CAMP_SAN_01,P08,1190,BOGOF,27,107,595,32130,214,127330,187,6.93,95200,2.96
3d8361,STMYS-1,CAMP_DIW_01,P08,1190,BOGOF,47,184,595,55930,368,218960,321,6.83,163030,2.91
d0356d,STCHE-0,CAMP_DIW_01,P08,1190,BOGOF,45,152,595,53550,304,180880,259,5.76,127330,2.38
60170c,STHYD-4,CAMP_DIW_01,P08,1190,BOGOF,63,208,595,74970,416,247520,353,5.6,172550,2.3
4a42f9,STBLR-7,CAMP_DIW_01,P08,1190,BOGOF,49,186,595,58310,372,221340,323,6.59,163030,2.8
c16abb,STCHE-7,CAMP_SAN_01,P08,1190,BOGOF,42,186,595,49980,372,221340,330,7.86,171360,3.43
8.31E+08,STCBE-2,CAMP_DIW_01,P08,1190,BOGOF,33,129,595,39270,258,153510,225,6.82,114240,2.91
0894b7,STCHE-3,CAMP_SAN_01,P08,1190,BOGOF,46,203,595,54740,406,241570,360,7.83,186830,3.41
e23132,STVJD-0,CAMP_DIW_01,P08,1190,BOGOF,26,86,595,30940,172,102340,146,5.62,71400,2.31
d76198,STCHE-4,CAMP_DIW_01,P08,1190,BOGOF,54,213,595,64260,426,253470,372,6.89,189210,2.94
0b38d9,STMYS-3,CAMP_DIW_01,P08,1190,BOGOF,29,115,595,34510,230,136850,201,6.93,102340,2.97
f94f2f,STTRV-1,CAMP_DIW_01,P08,1190,BOGOF,28,92,595,33320,184,109480,156,5.57,76160,2.29
8e6e77,STBLR-0,CAMP_SAN_01,P08,1190,BOGOF,37,156,595,44030,312,185640,275,7.43,141610,3.22
63a2d2,STCHE-3,CAMP_DIW_01,P08,1190,BOGOF,47,186,595,55930,372,221340,325,6.91,165410,2.96
bb83e5,STMDU-2,CAMP_DIW_01,P08,1190,BOGOF,40,133,595,47600,266,158270,226,5.65,110670,2.33
29411f,STBLR-6,CAMP_SAN_01,P08,1190,BOGOF,69,303,595,82110,606,360570,537,7.78,278460,3.39
7d89b1,STVSK-3,CAMP_DIW_01,P08,1190,BOGOF,45,138,595,53550,276,164220,231,5.13,110670,2.07
fc7056,STBLR-2,CAMP_DIW_01,P08,1190,BOGOF,40,135,595,47600,270,160650,230,5.75,113050,2.38
092c09,STHYD-5,CAMP_DIW_01,P08,1190,BOGOF,43,147,595,51170,294,174930,251,5.84,123760,2.42
fd5855,STVSK-4,CAMP_SAN_01,P08,1190,BOGOF,25,64,595,29750,128,76160,103,4.12,46410,1.56
c3b647,STCHE-5,CAMP_SAN_01,P08,1190,BOGOF,64,256,595,76160,512,304640,448,7,228480,3
9d63a7,STHYD-6,CAMP_SAN_01,P08,1190,BOGOF,43,166,595,51170,332,197540,289,6.72,146370,2.86
fc9ab7,STCBE-1,CAMP_DIW_01,P08,1190,BOGOF,40,140,595,47600,280,166600,240,6,119000,2.5
4f75fe,STMYS-2,CAMP_DIW_01,P08,1190,BOGOF,42,123,595,49980,246,146370,204,4.86,96390,1.93
40baa1,STCBE-0,CAMP_SAN_01,P08,1190,BOGOF,42,167,595,49980,334,198730,292,6.95,148750,2.98
4fc1b2,STCHE-2,CAMP_DIW_01,P08,1190,BOGOF,47,165,595,55930,330,196350,283,6.02,140420,2.51
69a3d2,STTRV-1,CAMP_SAN_01,P08,1190,BOGOF,24,92,595,28560,184,109480,160,6.67,80920,2.83
886ef2,STMLR-2,CAMP_DIW_01,P08,1190,BOGOF,22,73,595,26180,146,86870,124,5.64,60690,2.32
e2c5f7,STTRV-0,CAMP_DIW_01,P08,1190,BOGOF,31,102,595,36890,204,121380,173,5.58,84490,2.29
583386,STBLR-9,CAMP_SAN_01,P08,1190,BOGOF,63,254,595,74970,508,302260,445,7.06,227290,3.03
716abd,STMYS-1,CAMP_SAN_01,P08,1190,BOGOF,54,238,595,64260,476,283220,422,7.81,218960,3.41
e17280,STVSK-2,CAMP_DIW_01,P08,1190,BOGOF,38,129,595,45220,258,153510,220,5.79,108290,2.39
fc3573,STMYS-2,CAMP_SAN_01,P08,1190,BOGOF,61,163,595,72590,326,193970,265,4.34,121380,1.67
85e08f,STVSK-4,CAMP_DIW_01,P08,1190,BOGOF,50,152,595,59500,304,180880,254,5.08,121380,2.04
80be79,STBLR-4,CAMP_SAN_01,P08,1190,BOGOF,39,156,595,46410,312,185640,273,7,139230,3
dc23bb,STVSK-0,CAMP_DIW_01,P08,1190,BOGOF,42,145,595,49980,290,172550,248,5.9,122570,2.45
7bb8ed,STCHE-2,CAMP_SAN_01,P08,1190,BOGOF,45,175,595,53550,350,208250,305,6.78,154700,2.89
fb2c04,STVSK-0,CAMP_SAN_01,P08,1190,BOGOF,28,108,595,33320,216,128520,188,6.71,95200,2.86
04f19c,STMYS-0,CAMP_DIW_01,P08,1190,BOGOF,50,146,595,59500,292,173740,242,4.84,114240,1.92
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168,510,42840,336,171360,294,7,128520,3
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182,510,60180,364,185640,305,5.17,125460,2.08
761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474,510,123420,948,483480,827,6.83,360060,2.92
627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111,510,36720,222,113220,186,5.17,76500,2.08
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391,510,102000,782,398820,682,6.82,296820,2.91
582098,STMYS-1,CAMP_SAN_01,P14,1020,BOGOF,109,453,510,111180,906,462060,797,7.31,350880,3.16
71a7a0,STCHE-6,CAMP_DIW_01,P14,1020,BOGOF,59,195,510,60180,390,198900,331,5.61,138720,2.31
7b187a,STVSK-1,CAMP_SAN_01,P14,1020,BOGOF,82,322,510,83640,644,328440,562,6.85,244800,2.93
345b49,STMDU-2,CAMP_SAN_01,P14,1020,BOGOF,76,300,510,77520,600,306000,524,6.89,228480,2.95
413f48,STVSK-0,CAMP_SAN_01,P14,1020,BOGOF,61,234,510,62220,468,238680,407,6.67,176460,2.84
7014a8,STBLR-8,CAMP_SAN_01,P14,1020,BOGOF,97,385,510,98940,770,392700,673,6.94,293760,2.97
61b929,STVSK-2,CAMP_DIW_01,P14,1020,BOGOF,33,109,510,33660,218,111180,185,5.61,77520,2.3
d2b963,STVJD-0,CAMP_SAN_01,P14,1020,BOGOF,48,187,510,48960,374,190740,326,6.79,141780,2.9
2e3393,STCHE-3,CAMP_SAN_01,P14,1020,BOGOF,112,460,510,114240,920,469200,808,7.21,354960,3.11
4b3df6,STTRV-1,CAMP_SAN_01,P14,1020,BOGOF,61,234,510,62220,468,238680,407,6.67,176460,2.84
c48008,STBLR-2,CAMP_DIW_01,P14,1020,BOGOF,47,162,510,47940,324,165240,277,5.89,117300,2.45
a37f93,STVSK-3,CAMP_DIW_01,P14,1020,BOGOF,38,117,510,38760,234,119340,196,5.16,80580,2.08
38b760,STMDU-0,CAMP_DIW_01,P14,1020,BOGOF,33,126,510,33660,252,128520,219,6.64,94860,2.82
6c7601,STCBE-2,CAMP_SAN_01,P14,1020,BOGOF,78,334,510,79560,668,340680,590,7.56,261120,3.28
f1b7e9,STCHE-3,CAMP_DIW_01,P14,1020,BOGOF,52,211,510,53040,422,215220,370,7.12,162180,3.06
2b0db4,STMLR-2,CAMP_DIW_01,P14,1020,BOGOF,21,73,510,21420,146,74460,125,5.95,53040,2.48
27bc6e,STCBE-2,CAMP_DIW_01,P14,1020,BOGOF,42,160,510,42840,320,163200,278,6.62,120360,2.81
fc376a,STHYD-0,CAMP_SAN_01,P14,1020,BOGOF,106,422,510,108120,844,430440,738,6.96,322320,2.98
d6ff76,STMDU-2,CAMP_DIW_01,P14,1020,BOGOF,28,96,510,28560,192,97920,164,5.86,69360,2.43
